state,startdate,enddate,grade,samplesize,population,rawpoll_clinton,rawpoll_trump
WA,11/1/2016,11/7/2016,B,682,lv,42.67,30.43
NV,10/14/2016,10/17/2016,A+,413,lv,47,40
PA,10/31/2016,11/6/2016,A-,498,lv,48.2,45.19
CO,11/1/2016,11/7/2016,B,666,lv,47.11,29.95
MI,10/16/2016,10/19/2016,C+,600,lv,41,36
IL,10/31/2016,11/6/2016,A-,482,lv,51.3,39.08
AR,10/21/2016,10/21/2016,C+,463,lv,32.5,56
NC,9/29/2016,10/2/2016,A+,805,lv,44,43
SD,10/18/2016,10/20/2016,B+,400,lv,37,44
GA,11/1/2016,11/7/2016,B,614,lv,37.71,41.45
MN,10/24/2016,11/6/2016,A-,647,lv,43.9,36
PA,10/3/2016,10/6/2016,A,709,lv,49,37
OH,10/7/2016,10/10/2016,,1304,lv,44,39
NY,10/13/2016,10/17/2016,A,611,lv,54,30
WI,10/5/2016,10/7/2016,B,993,lv,43,39
WA,10/6/2016,10/13/2016,B,750,lv,53,39
OH,10/9/2016,10/11/2016,,1152,lv,43.2,34.4
MA,11/1/2016,11/7/2016,B,562,lv,47.84,25.89
WI,10/24/2016,11/6/2016,A-,625,lv,45.92,39.99
IN,10/7/2016,10/10/2016,,1123,lv,37,43
AZ,10/24/2016,11/6/2016,A-,593,lv,42.38,47.1
GA,10/31/2016,11/6/2016,A-,416,lv,42.38,47.79
VA,10/26/2016,10/30/2016,B,802,lv,41,44
LA,10/15/2016,10/21/2016,C,603,lv,35,49
MD,11/1/2016,11/7/2016,B,498,lv,44.82,31.28
WA,10/24/2016,11/6/2016,A-,562,lv,46.72,38.48
OR,11/1/2016,11/7/2016,B,502,lv,44.95,26.36
TN,11/1/2016,11/7/2016,B,494,lv,34.21,44.33
TN,10/24/2016,11/6/2016,A-,538,lv,36.33,49.76
AL,11/1/2016,11/7/2016,B,485,lv,20.23,60.67
CO,10/24/2016,11/6/2016,A-,536,lv,47.71,42.33
KY,11/1/2016,11/7/2016,B,472,lv,31.9,43.89
KS,10/11/2016,10/15/2016,A,581,lv,36,47
NV,10/11/2016,10/12/2016,B,600,lv,45,39
WY,11/1/2016,11/7/2016,C-,213,lv,21,60
NC,10/31/2016,11/6/2016,A-,371,lv,46,46.9
WI,10/18/2016,10/20/2016,C-,600,lv,48,43
MA,10/31/2016,11/6/2016,A-,365,lv,53.14,35.79
IA,11/1/2016,11/7/2016,B,442,lv,35.57,33.72
OH,10/5/2016,10/6/2016,B+,782,lv,44,43
MO,10/28/2016,10/31/2016,B,650,lv,37,52
VA,10/12/2016,10/15/2016,B,500,lv,47,38
SC,11/1/2016,11/7/2016,B,440,lv,31.91,45.52
AZ,10/10/2016,10/15/2016,C+,713,lv,43.4,37.8
MD,10/24/2016,11/6/2016,A-,472,lv,55.69,33.6
WV,10/12/2016,10/17/2016,C+,601,lv,31,58
NC,10/10/2016,10/12/2016,A,743,lv,45,41
CT,11/1/2016,11/7/2016,B,416,lv,38.62,29.29
IA,10/7/2016,10/10/2016,,917,lv,41,37
OR,10/24/2016,11/6/2016,A-,465,lv,46.72,37.04
OR,10/4/2016,10/14/2016,B+,608,lv,46,36
IN,10/10/2016,10/16/2016,,544,lv,37,43
AK,10/11/2016,10/13/2016,B+,500,lv,36,37
MI,10/31/2016,11/6/2016,A-,342,lv,45.95,44.53
IL,10/13/2016,10/13/2016,,644,lv,50,31.5
WY,10/5/2016,10/11/2016,,722,lv,20,58
LA,10/11/2016,10/15/2016,C,800,rv,38,45
FL,10/16/2016,10/19/2016,C,507,lv,46,42
KS,11/1/2016,11/7/2016,B,355,lv,41.28,31
IN,10/31/2016,11/6/2016,A-,303,lv,37.79,53.68
MI,10/10/2016,10/11/2016,B,600,lv,42.2,30.6
VT,9/29/2016,10/14/2016,B+,579,lv,45,17
MO,10/24/2016,11/6/2016,A-,401,lv,39.73,48.01
KY,10/24/2016,11/6/2016,A-,391,lv,37.64,58.29
FL,10/21/2016,10/22/2016,B,1042,lv,46,43
OH,10/26/2016,10/27/2016,B,800,lv,45,45
MD,9/27/2016,9/30/2016,A+,706,lv,63,27
IN,10/11/2016,10/13/2016,A+,402,lv,41,45
NV,10/26/2016,10/27/2016,B,550,lv,44,42
PA,10/10/2016,10/16/2016,A-,660,lv,47,41
IL,9/27/2016,10/2/2016,,865,lv,53.2,28.4
LA,11/1/2016,11/7/2016,B,320,lv,21.92,53.7
NC,10/10/2016,10/12/2016,B+,500,lv,44.8,43.4
FL,10/31/2016,10/31/2016,B-,1195,rv,49,46
GA,10/15/2016,10/18/2016,C-,627,lv,43.1,45.8
CT,10/24/2016,11/6/2016,A-,351,lv,49.76,39.7
NC,10/21/2016,10/22/2016,B+,875,lv,47,44
PA,11/1/2016,11/2/2016,B-,1016,rv,47,45
AZ,11/1/2016,11/2/2016,,550,lv,39,47
UT,10/10/2016,10/12/2016,A+,403,lv,28,34
OH,9/21/2016,10/13/2016,,1004,lv,41,38
OH,10/10/2016,10/16/2016,A-,624,lv,45,45
WI,10/18/2016,10/19/2016,B+,804,lv,50,38
MS,11/1/2016,11/7/2016,B,291,lv,25.02,52.3
AL,10/24/2016,11/6/2016,A-,328,lv,38.06,54.15
