CASEID,race,sex,earn2009,bmonth,byear,afqt,region_1979,faminc1978,hgc,nsibs79
5296,"NON-BLACK, NON-HISPANIC",MALE,32528.62,10,1959,74.661,2,,12,5
5297,"NON-BLACK, NON-HISPANIC",MALE,0,2,1962,15.08,2,,12,5
5298,"NON-BLACK, NON-HISPANIC",FEMALE,0,12,1963,45.904,2,,12,5
5299,"NON-BLACK, NON-HISPANIC",FEMALE,55226.86,10,1959,78.135,2,,16,4
5300,"NON-BLACK, NON-HISPANIC",MALE,,2,1964,50.321,2,0,15,2
5301,"NON-BLACK, NON-HISPANIC",FEMALE,43076.95,1,1963,86.332,2,30462.59,12,2
5302,"NON-BLACK, NON-HISPANIC",FEMALE,,2,1960,74.357,2,,,3
5303,"NON-BLACK, NON-HISPANIC",MALE,,10,1961,43.785,2,,,3
5304,"NON-BLACK, NON-HISPANIC",MALE,0,2,1957,92.804,2,,16,2
5305,"NON-BLACK, NON-HISPANIC",FEMALE,0,3,1962,33.128,2,7461.263,12,3
5306,"NON-BLACK, NON-HISPANIC",MALE,38658.8,1,1964,31.939,2,,12,4
5307,"NON-BLACK, NON-HISPANIC",MALE,44181.48,12,1959,22.362,2,-11326.3,12,6
5308,"NON-BLACK, NON-HISPANIC",FEMALE,17672.59,5,1962,4.171,2,24003.91,13,2
5309,"NON-BLACK, NON-HISPANIC",FEMALE,29401.67,6,1957,,2,,12,6
5310,"NON-BLACK, NON-HISPANIC",FEMALE,85804.86,4,1963,84.207,2,75429.95,16,1
5311,"NON-BLACK, NON-HISPANIC",FEMALE,,2,1957,34.37,2,,12,1
5312,"NON-BLACK, NON-HISPANIC",MALE,0,9,1964,21.28,2,72651.05,12,6
5313,"NON-BLACK, NON-HISPANIC",MALE,0,8,1964,48.498,2,,12,3
5314,"NON-BLACK, NON-HISPANIC",FEMALE,0,5,1963,53.171,2,79916.16,14,5
5315,"NON-BLACK, NON-HISPANIC",FEMALE,2209.074,5,1960,52.155,2,,14,4
5316,"NON-BLACK, NON-HISPANIC",MALE,68481.3,11,1962,85.107,2,69018.5,12,4
5317,"NON-BLACK, NON-HISPANIC",FEMALE,15076.93,10,1963,76.53,2,69018.5,12,4
5318,"NON-BLACK, NON-HISPANIC",MALE,8836.297,7,1962,75.732,2,39958.08,14,4
5319,"NON-BLACK, NON-HISPANIC",MALE,,2,1962,98.955,2,52672.01,,2
5320,"NON-BLACK, NON-HISPANIC",MALE,,2,1961,7.224,2,30876.7,9,3
5321,"NON-BLACK, NON-HISPANIC",MALE,13254.45,1,1958,72.92,2,,12,4
5322,"NON-BLACK, NON-HISPANIC",MALE,0,8,1957,34.225,2,,12,5
5323,"NON-BLACK, NON-HISPANIC",MALE,,12,1960,11.326,2,36325.53,10,5
5324,"NON-BLACK, NON-HISPANIC",MALE,0,12,1962,,2,43590.63,9,5
5325,"NON-BLACK, NON-HISPANIC",FEMALE,38658.8,9,1957,88.694,2,,17,5
5326,"NON-BLACK, NON-HISPANIC",FEMALE,40867.87,1,1960,88.59,2,,16,5
5327,"NON-BLACK, NON-HISPANIC",FEMALE,27613.43,12,1959,60.895,2,61753.4,12,1
5328,"NON-BLACK, NON-HISPANIC",FEMALE,0,2,1960,39.649,4,44891.09,12,4
5329,"NON-BLACK, NON-HISPANIC",MALE,50808.71,11,1961,20.657,4,55214.8,13,4
5330,"NON-BLACK, NON-HISPANIC",FEMALE,13254.45,11,1963,64.846,4,55214.8,14,4
5331,"NON-BLACK, NON-HISPANIC",FEMALE,24299.82,11,1960,,2,72651.05,12,2
